03-28 20:55:49.029  6208  6208 I flutter : [PERF] 20:55:49 | FPS:11 | MLKit:69ms | TFLite:66ms | Total:135ms
03-28 20:55:50.071  6208  6208 I flutter : [PERF] 20:55:50 | FPS:11 | MLKit:64ms | TFLite:62ms | Total:126ms
03-28 20:55:51.111  6208  6208 I flutter : [PERF] 20:55:51 | FPS:13 | MLKit:66ms | TFLite:65ms | Total:131ms
03-28 20:55:52.141  6208  6208 I flutter : [PERF] 20:55:52 | FPS:10 | MLKit:68ms | TFLite:67ms | Total:136ms
03-28 20:55:53.186  6208  6208 I flutter : [PERF] 20:55:53 | FPS:14 | MLKit:65ms | TFLite:63ms | Total:128ms
03-28 20:55:54.224  6208  6208 I flutter : [PERF] 20:55:54 | FPS:10 | MLKit:69ms | TFLite:65ms | Total:135ms
03-28 20:55:55.236  6208  6208 I flutter : [PERF] 20:55:55 | FPS:11 | MLKit:68ms | TFLite:65ms | Total:134ms
03-28 20:55:56.274  6208  6208 I flutter : [PERF] 20:55:56 | FPS:13 | MLKit:63ms | TFLite:63ms | Total:126ms
03-28 20:55:57.297  6208  6208 I flutter : [PERF] 20:55:57 | FPS:13 | MLKit:59ms | TFLite:62ms | Total:121ms
03-28 20:55:58.303  6208  6208 I flutter : [PERF] 20:55:58 | FPS:13 | MLKit:64ms | TFLite:64ms | Total:128ms
03-28 20:55:59.363  6208  6208 I flutter : [PERF] 20:55:59 | FPS:10 | MLKit:70ms | TFLite:69ms | Total:140ms
03-28 20:56:00.420  6208  6208 I flutter : [PERF] 20:56:00 | FPS:13 | MLKit:72ms | TFLite:71ms | Total:144ms
03-28 20:56:01.455  6208  6208 I flutter : [PERF] 20:56:01 | FPS:12 | MLKit:67ms | TFLite:69ms | Total:136ms
03-28 20:56:02.495  6208  6208 I flutter : [PERF] 20:56:02 | FPS:13 | MLKit:57ms | TFLite:58ms | Total:116ms
03-28 20:56:03.506  6208  6208 I flutter : [PERF] 20:56:03 | FPS:11 | MLKit:60ms | TFLite:62ms | Total:123ms
03-28 20:56:04.575  6208  6208 I flutter : [PERF] 20:56:04 | FPS:10 | MLKit:63ms | TFLite:65ms | Total:129ms
03-28 20:56:05.637  6208  6208 I flutter : [PERF] 20:56:05 | FPS:13 | MLKit:63ms | TFLite:66ms | Total:129ms
03-28 20:56:06.665  6208  6208 I flutter : [PERF] 20:56:06 | FPS:13 | MLKit:66ms | TFLite:65ms | Total:131ms
03-28 20:56:07.829  6208  6208 I flutter : [PERF] 20:56:07 | FPS:10 | MLKit:73ms | TFLite:71ms | Total:144ms
03-28 20:56:08.921  6208  6208 I flutter : [PERF] 20:56:08 | FPS:9 | MLKit:79ms | TFLite:76ms | Total:156ms
03-28 20:56:09.926  6208  6208 I flutter : [PERF] 20:56:09 | FPS:8 | MLKit:83ms | TFLite:82ms | Total:166ms
03-28 20:56:11.037  6208  6208 I flutter : [PERF] 20:56:11 | FPS:11 | MLKit:83ms | TFLite:84ms | Total:167ms
03-28 20:56:12.063  6208  6208 I flutter : [PERF] 20:56:12 | FPS:14 | MLKit:76ms | TFLite:72ms | Total:148ms
03-28 20:56:13.098  6208  6208 I flutter : [PERF] 20:56:13 | FPS:10 | MLKit:70ms | TFLite:72ms | Total:142ms
03-28 20:56:14.118  6208  6208 I flutter : [PERF] 20:56:14 | FPS:9 | MLKit:70ms | TFLite:73ms | Total:144ms
03-28 20:56:15.159  6208  6208 I flutter : [PERF] 20:56:15 | FPS:10 | MLKit:76ms | TFLite:79ms | Total:156ms
03-28 20:56:16.175  6208  6208 I flutter : [PERF] 20:56:16 | FPS:9 | MLKit:84ms | TFLite:79ms | Total:163ms
03-28 20:56:17.254  6208  6208 I flutter : [PERF] 20:56:17 | FPS:11 | MLKit:83ms | TFLite:76ms | Total:159ms
03-28 20:56:18.353  6208  6208 I flutter : [PERF] 20:56:18 | FPS:11 | MLKit:71ms | TFLite:70ms | Total:141ms
03-28 20:56:19.372  6208  6208 I flutter : [PERF] 20:56:19 | FPS:11 | MLKit:59ms | TFLite:66ms | Total:125ms
03-28 20:56:20.376  6208  6208 I flutter : [PERF] 20:56:20 | FPS:10 | MLKit:52ms | TFLite:63ms | Total:115ms
03-28 20:56:21.438  6208  6208 I flutter : [PERF] 20:56:21 | FPS:10 | MLKit:59ms | TFLite:67ms | Total:126ms
03-28 20:56:22.463  6208  6208 I flutter : [PERF] 20:56:22 | FPS:13 | MLKit:59ms | TFLite:62ms | Total:122ms
