03-28 13:22:35.541 20704 20704 I flutter : [PERF] 13:22:35 | FPS:12 | MLKit:60ms | TFLite:60ms | Total:120ms
03-28 13:22:36.571 20704 20704 I flutter : [PERF] 13:22:36 | FPS:11 | MLKit:64ms | TFLite:64ms | Total:128ms
03-28 13:22:37.598 20704 20704 I flutter : [PERF] 13:22:37 | FPS:12 | MLKit:63ms | TFLite:61ms | Total:125ms
03-28 13:22:38.670 20704 20704 I flutter : [PERF] 13:22:38 | FPS:12 | MLKit:62ms | TFLite:62ms | Total:124ms
03-28 13:22:39.682 20704 20704 I flutter : [PERF] 13:22:39 | FPS:11 | MLKit:59ms | TFLite:61ms | Total:120ms
03-28 13:22:40.808 20704 20704 I flutter : [PERF] 13:22:40 | FPS:11 | MLKit:61ms | TFLite:64ms | Total:125ms
03-28 13:22:41.833 20704 20704 I flutter : [PERF] 13:22:41 | FPS:10 | MLKit:64ms | TFLite:65ms | Total:130ms
03-28 13:22:42.950 20704 20704 I flutter : [PERF] 13:22:42 | FPS:12 | MLKit:64ms | TFLite:65ms | Total:130ms
03-28 13:22:44.004 20704 20704 I flutter : [PERF] 13:22:44 | FPS:10 | MLKit:67ms | TFLite:66ms | Total:133ms
03-28 13:22:45.037 20704 20704 I flutter : [PERF] 13:22:45 | FPS:11 | MLKit:74ms | TFLite:69ms | Total:143ms
03-28 13:22:46.169 20704 20704 I flutter : [PERF] 13:22:46 | FPS:12 | MLKit:70ms | TFLite:64ms | Total:135ms
03-28 13:22:47.294 20704 20704 I flutter : [PERF] 13:22:47 | FPS:11 | MLKit:75ms | TFLite:69ms | Total:145ms
03-28 13:22:48.331 20704 20704 I flutter : [PERF] 13:22:48 | FPS:10 | MLKit:76ms | TFLite:70ms | Total:146ms
03-28 13:22:49.349 20704 20704 I flutter : [PERF] 13:22:49 | FPS:9 | MLKit:79ms | TFLite:74ms | Total:154ms
03-28 13:22:50.381 20704 20704 I flutter : [PERF] 13:22:50 | FPS:9 | MLKit:76ms | TFLite:76ms | Total:152ms
03-28 13:22:51.389 20704 20704 I flutter : [PERF] 13:22:51 | FPS:10 | MLKit:68ms | TFLite:70ms | Total:139ms
03-28 13:22:52.446 20704 20704 I flutter : [PERF] 13:22:52 | FPS:11 | MLKit:66ms | TFLite:65ms | Total:132ms
03-28 13:22:53.504 20704 20704 I flutter : [PERF] 13:22:53 | FPS:12 | MLKit:64ms | TFLite:61ms | Total:125ms
03-28 13:22:54.566 20704 20704 I flutter : [PERF] 13:22:54 | FPS:14 | MLKit:62ms | TFLite:58ms | Total:120ms
03-28 13:22:55.627 20704 20704 I flutter : [PERF] 13:22:55 | FPS:14 | MLKit:63ms | TFLite:57ms | Total:120ms
03-28 13:22:56.650 20704 20704 I flutter : [PERF] 13:22:56 | FPS:10 | MLKit:63ms | TFLite:61ms | Total:124ms
03-28 13:22:57.684 20704 20704 I flutter : [PERF] 13:22:57 | FPS:12 | MLKit:63ms | TFLite:60ms | Total:123ms
03-28 13:22:58.717 20704 20704 I flutter : [PERF] 13:22:58 | FPS:12 | MLKit:61ms | TFLite:61ms | Total:122ms
03-28 13:22:59.807 20704 20704 I flutter : [PERF] 13:22:59 | FPS:13 | MLKit:59ms | TFLite:60ms | Total:120ms
03-28 13:23:00.858 20704 20704 I flutter : [PERF] 13:23:00 | FPS:14 | MLKit:54ms | TFLite:56ms | Total:110ms
03-28 13:23:01.886 20704 20704 I flutter : [PERF] 13:23:01 | FPS:12 | MLKit:58ms | TFLite:57ms | Total:116ms
03-28 13:23:02.919 20704 20704 I flutter : [PERF] 13:23:02 | FPS:10 | MLKit:60ms | TFLite:62ms | Total:123ms
03-28 13:23:03.992 20704 20704 I flutter : [PERF] 13:23:03 | FPS:12 | MLKit:63ms | TFLite:64ms | Total:127ms
03-28 13:23:05.011 20704 20704 I flutter : [PERF] 13:23:05 | FPS:13 | MLKit:60ms | TFLite:63ms | Total:123ms
03-28 13:23:06.011 20704 20704 I flutter : [PERF] 13:23:06 | FPS:10 | MLKit:67ms | TFLite:64ms | Total:131ms
03-28 13:23:07.086 20704 20704 I flutter : [PERF] 13:23:07 | FPS:13 | MLKit:65ms | TFLite:62ms | Total:128ms
03-28 13:23:08.112 20704 20704 I flutter : [PERF] 13:23:08 | FPS:10 | MLKit:65ms | TFLite:63ms | Total:128ms
03-28 13:23:09.155 20704 20704 I flutter : [PERF] 13:23:09 | FPS:13 | MLKit:62ms | TFLite:57ms | Total:119ms
03-28 13:23:10.183 20704 20704 I flutter : [PERF] 13:23:10 | FPS:12 | MLKit:60ms | TFLite:55ms | Total:116ms
03-28 13:23:11.244 20704 20704 I flutter : [PERF] 13:23:11 | FPS:11 | MLKit:53ms | TFLite:55ms | Total:108ms
03-28 13:23:12.318 20704 20704 I flutter : [PERF] 13:23:12 | FPS:13 | MLKit:52ms | TFLite:57ms | Total:110ms
03-28 13:23:13.515 20704 20704 I flutter : [PERF] 13:23:13 | FPS:12 | MLKit:57ms | TFLite:59ms | Total:116ms
03-28 13:23:14.576 20704 20704 I flutter : [PERF] 13:23:14 | FPS:13 | MLKit:65ms | TFLite:62ms | Total:127ms
03-28 13:23:15.592 20704 20704 I flutter : [PERF] 13:23:15 | FPS:12 | MLKit:69ms | TFLite:63ms | Total:132ms
03-28 13:23:16.594 20704 20704 I flutter : [PERF] 13:23:16 | FPS:12 | MLKit:63ms | TFLite:59ms | Total:122ms
03-28 13:23:17.677 20704 20704 I flutter : [PERF] 13:23:17 | FPS:13 | MLKit:62ms | TFLite:63ms | Total:125ms
03-28 13:23:18.696 20704 20704 I flutter : [PERF] 13:23:18 | FPS:12 | MLKit:67ms | TFLite:63ms | Total:131ms
03-28 13:23:19.795 20704 20704 I flutter : [PERF] 13:23:19 | FPS:13 | MLKit:62ms | TFLite:60ms | Total:122ms
03-28 13:23:20.875 20704 20704 I flutter : [PERF] 13:23:20 | FPS:11 | MLKit:63ms | TFLite:59ms | Total:122ms
03-28 13:23:21.887 20704 20704 I flutter : [PERF] 13:23:21 | FPS:11 | MLKit:63ms | TFLite:63ms | Total:127ms
03-28 13:23:22.892 20704 20704 I flutter : [PERF] 13:23:22 | FPS:13 | MLKit:64ms | TFLite:62ms | Total:126ms
03-28 13:23:23.968 20704 20704 I flutter : [PERF] 13:23:23 | FPS:11 | MLKit:68ms | TFLite:67ms | Total:135ms
03-28 13:23:25.082 20704 20704 I flutter : [PERF] 13:23:25 | FPS:11 | MLKit:67ms | TFLite:68ms | Total:135ms
03-28 13:23:26.168 20704 20704 I flutter : [PERF] 13:23:26 | FPS:10 | MLKit:67ms | TFLite:71ms | Total:138ms
03-28 13:23:27.232 20704 20704 I flutter : [PERF] 13:23:27 | FPS:12 | MLKit:66ms | TFLite:68ms | Total:134ms
03-28 13:23:28.272 20704 20704 I flutter : [PERF] 13:23:28 | FPS:13 | MLKit:60ms | TFLite:60ms | Total:120ms
03-28 13:23:29.342 20704 20704 I flutter : [PERF] 13:23:29 | FPS:14 | MLKit:55ms | TFLite:53ms | Total:108ms
03-28 13:23:30.410 20704 20704 I flutter : [PERF] 13:23:30 | FPS:13 | MLKit:56ms | TFLite:56ms | Total:113ms
03-28 13:23:31.434 20704 20704 I flutter : [PERF] 13:23:31 | FPS:11 | MLKit:63ms | TFLite:60ms | Total:123ms
03-28 13:23:32.505 20704 20704 I flutter : [PERF] 13:23:32 | FPS:12 | MLKit:61ms | TFLite:61ms | Total:122ms
03-28 13:23:33.527 20704 20704 I flutter : [PERF] 13:23:33 | FPS:12 | MLKit:59ms | TFLite:59ms | Total:119ms
03-28 13:23:34.596 20704 20704 I flutter : [PERF] 13:23:34 | FPS:12 | MLKit:55ms | TFLite:56ms | Total:111ms
03-28 13:23:35.599 20704 20704 I flutter : [PERF] 13:23:35 | FPS:12 | MLKit:63ms | TFLite:60ms | Total:123ms
03-28 13:23:36.688 20704 20704 I flutter : [PERF] 13:23:36 | FPS:13 | MLKit:64ms | TFLite:61ms | Total:125ms
03-28 13:23:37.750 20704 20704 I flutter : [PERF] 13:23:37 | FPS:13 | MLKit:56ms | TFLite:58ms | Total:115ms
03-28 13:23:38.766 20704 20704 I flutter : [PERF] 13:23:38 | FPS:11 | MLKit:56ms | TFLite:58ms | Total:115ms
03-28 13:23:39.825 20704 20704 I flutter : [PERF] 13:23:39 | FPS:13 | MLKit:59ms | TFLite:60ms | Total:119ms
03-28 13:23:40.876 20704 20704 I flutter : [PERF] 13:23:40 | FPS:13 | MLKit:57ms | TFLite:55ms | Total:113ms
03-28 13:23:41.924 20704 20704 I flutter : [PERF] 13:23:41 | FPS:12 | MLKit:58ms | TFLite:55ms | Total:114ms
03-28 13:23:42.971 20704 20704 I flutter : [PERF] 13:23:42 | FPS:11 | MLKit:60ms | TFLite:60ms | Total:120ms
03-28 13:23:43.975 20704 20704 I flutter : [PERF] 13:23:43 | FPS:11 | MLKit:62ms | TFLite:62ms | Total:125ms
03-28 13:23:45.034 20704 20704 I flutter : [PERF] 13:23:45 | FPS:11 | MLKit:61ms | TFLite:62ms | Total:124ms
03-28 13:23:46.108 20704 20704 I flutter : [PERF] 13:23:46 | FPS:12 | MLKit:58ms | TFLite:60ms | Total:119ms
03-28 13:23:47.162 20704 20704 I flutter : [PERF] 13:23:47 | FPS:12 | MLKit:62ms | TFLite:61ms | Total:123ms
03-28 13:23:48.227 20704 20704 I flutter : [PERF] 13:23:48 | FPS:13 | MLKit:61ms | TFLite:59ms | Total:121ms
03-28 13:23:49.251 20704 20704 I flutter : [PERF] 13:23:49 | FPS:14 | MLKit:59ms | TFLite:57ms | Total:116ms
03-28 13:23:50.274 20704 20704 I flutter : [PERF] 13:23:50 | FPS:13 | MLKit:56ms | TFLite:54ms | Total:111ms
03-28 13:23:51.324 20704 20704 I flutter : [PERF] 13:23:51 | FPS:15 | MLKit:58ms | TFLite:55ms | Total:113ms
03-28 13:23:52.392 20704 20704 I flutter : [PERF] 13:23:52 | FPS:11 | MLKit:58ms | TFLite:61ms | Total:120ms
03-28 13:23:53.442 20704 20704 I flutter : [PERF] 13:23:53 | FPS:11 | MLKit:63ms | TFLite:65ms | Total:129ms
03-28 13:23:54.476 20704 20704 I flutter : [PERF] 13:23:54 | FPS:13 | MLKit:66ms | TFLite:67ms | Total:133ms
