04-02 13:50:33.361 30850 30850 I flutter : [PERF] 13:50:33 | FPS:10 | MLKit:63ms | TFLite:62ms | Total:126ms
04-02 13:50:34.394 30850 30850 I flutter : [PERF] 13:50:34 | FPS:13 | MLKit:66ms | TFLite:65ms | Total:132ms
04-02 13:50:35.462 30850 30850 I flutter : [PERF] 13:50:35 | FPS:11 | MLKit:64ms | TFLite:61ms | Total:125ms
04-02 13:50:36.504 30850 30850 I flutter : [PERF] 13:50:36 | FPS:11 | MLKit:61ms | TFLite:62ms | Total:124ms
04-02 13:50:37.537 30850 30850 I flutter : [PERF] 13:50:37 | FPS:10 | MLKit:58ms | TFLite:62ms | Total:121ms
04-02 13:50:38.627 30850 30850 I flutter : [PERF] 13:50:38 | FPS:11 | MLKit:54ms | TFLite:60ms | Total:115ms
04-02 13:50:39.664 30850 30850 I flutter : [PERF] 13:50:39 | FPS:11 | MLKit:54ms | TFLite:59ms | Total:114ms
04-02 13:50:40.761 30850 30850 I flutter : [PERF] 13:50:40 | FPS:12 | MLKit:55ms | TFLite:60ms | Total:116ms
04-02 13:50:41.843 30850 30850 I flutter : [PERF] 13:50:41 | FPS:12 | MLKit:65ms | TFLite:66ms | Total:132ms
04-02 13:50:42.904 30850 30850 I flutter : [PERF] 13:50:42 | FPS:13 | MLKit:67ms | TFLite:66ms | Total:134ms
04-02 13:50:43.967 30850 30850 I flutter : [PERF] 13:50:43 | FPS:13 | MLKit:59ms | TFLite:61ms | Total:120ms
04-02 13:50:45.003 30850 30850 I flutter : [PERF] 13:50:45 | FPS:12 | MLKit:59ms | TFLite:60ms | Total:119ms
04-02 13:50:46.033 30850 30850 I flutter : [PERF] 13:50:46 | FPS:10 | MLKit:66ms | TFLite:60ms | Total:126ms
04-02 13:50:47.073 30850 30850 I flutter : [PERF] 13:50:47 | FPS:13 | MLKit:68ms | TFLite:59ms | Total:127ms
