03-28 12:59:55.558 19147 19147 I flutter : [PERF] 12:59:55 | FPS:6 | MLKit:149ms | TFLite:168ms | Total:317ms
03-28 12:59:56.637 19147 19147 I flutter : [PERF] 12:59:56 | FPS:6 | MLKit:148ms | TFLite:167ms | Total:315ms
03-28 12:59:57.696 19147 19147 I flutter : [PERF] 12:59:57 | FPS:6 | MLKit:151ms | TFLite:166ms | Total:317ms
03-28 12:59:58.784 19147 19147 I flutter : [PERF] 12:59:58 | FPS:6 | MLKit:151ms | TFLite:165ms | Total:317ms
03-28 12:59:59.824 19147 19147 I flutter : [PERF] 12:59:59 | FPS:5 | MLKit:148ms | TFLite:165ms | Total:313ms
03-28 13:00:01.089 19147 19147 I flutter : [PERF] 13:00:01 | FPS:6 | MLKit:144ms | TFLite:167ms | Total:312ms
03-28 13:00:02.161 19147 19147 I flutter : [PERF] 13:00:02 | FPS:4 | MLKit:144ms | TFLite:174ms | Total:318ms
03-28 13:00:03.295 19147 19147 I flutter : [PERF] 13:00:03 | FPS:6 | MLKit:134ms | TFLite:173ms | Total:308ms
03-28 13:00:04.388 19147 19147 I flutter : [PERF] 13:00:04 | FPS:6 | MLKit:133ms | TFLite:174ms | Total:308ms
03-28 13:00:05.442 19147 19147 I flutter : [PERF] 13:00:05 | FPS:6 | MLKit:135ms | TFLite:175ms | Total:310ms
03-28 13:00:06.535 19147 19147 I flutter : [PERF] 13:00:06 | FPS:5 | MLKit:125ms | TFLite:177ms | Total:302ms
03-28 13:00:07.542 19147 19147 I flutter : [PERF] 13:00:07 | FPS:5 | MLKit:138ms | TFLite:171ms | Total:309ms
03-28 13:00:08.723 19147 19147 I flutter : [PERF] 13:00:08 | FPS:6 | MLKit:135ms | TFLite:171ms | Total:307ms
03-28 13:00:09.753 19147 19147 I flutter : [PERF] 13:00:09 | FPS:5 | MLKit:135ms | TFLite:171ms | Total:307ms
03-28 13:00:10.792 19147 19147 I flutter : [PERF] 13:00:10 | FPS:5 | MLKit:137ms | TFLite:173ms | Total:311ms
03-28 13:00:11.951 19147 19147 I flutter : [PERF] 13:00:11 | FPS:6 | MLKit:140ms | TFLite:175ms | Total:316ms
03-28 13:00:12.976 19147 19147 I flutter : [PERF] 13:00:12 | FPS:5 | MLKit:153ms | TFLite:173ms | Total:326ms
03-28 13:00:14.097 19147 19147 I flutter : [PERF] 13:00:14 | FPS:6 | MLKit:164ms | TFLite:173ms | Total:338ms
03-28 13:00:15.117 19147 19147 I flutter : [PERF] 13:00:15 | FPS:5 | MLKit:161ms | TFLite:173ms | Total:334ms
03-28 13:00:16.332 19147 19147 I flutter : [PERF] 13:00:16 | FPS:6 | MLKit:167ms | TFLite:175ms | Total:343ms
03-28 13:00:17.454 19147 19147 I flutter : [PERF] 13:00:17 | FPS:6 | MLKit:173ms | TFLite:174ms | Total:347ms
03-28 13:00:18.560 19147 19147 I flutter : [PERF] 13:00:18 | FPS:5 | MLKit:162ms | TFLite:177ms | Total:339ms
03-28 13:00:19.722 19147 19147 I flutter : [PERF] 13:00:19 | FPS:6 | MLKit:151ms | TFLite:175ms | Total:327ms
03-28 13:00:20.807 19147 19147 I flutter : [PERF] 13:00:20 | FPS:5 | MLKit:133ms | TFLite:173ms | Total:307ms
03-28 13:00:21.846 19147 19147 I flutter : [PERF] 13:00:21 | FPS:5 | MLKit:116ms | TFLite:174ms | Total:291ms
03-28 13:00:23.023 19147 19147 I flutter : [PERF] 13:00:23 | FPS:6 | MLKit:110ms | TFLite:170ms | Total:281ms
03-28 13:00:24.141 19147 19147 I flutter : [PERF] 13:00:24 | FPS:6 | MLKit:116ms | TFLite:169ms | Total:285ms
03-28 13:00:25.167 19147 19147 I flutter : [PERF] 13:00:25 | FPS:5 | MLKit:119ms | TFLite:171ms | Total:290ms
03-28 13:00:26.366 19147 19147 I flutter : [PERF] 13:00:26 | FPS:6 | MLKit:128ms | TFLite:168ms | Total:297ms
03-28 13:00:27.492 19147 19147 I flutter : [PERF] 13:00:27 | FPS:6 | MLKit:148ms | TFLite:170ms | Total:319ms
03-28 13:00:28.533 19147 19147 I flutter : [PERF] 13:00:28 | FPS:6 | MLKit:151ms | TFLite:168ms | Total:320ms
03-28 13:00:29.616 19147 19147 I flutter : [PERF] 13:00:29 | FPS:5 | MLKit:150ms | TFLite:171ms | Total:321ms
03-28 13:00:30.713 19147 19147 I flutter : [PERF] 13:00:30 | FPS:6 | MLKit:154ms | TFLite:170ms | Total:325ms
03-28 13:00:31.948 19147 19147 I flutter : [PERF] 13:00:31 | FPS:6 | MLKit:169ms | TFLite:174ms | Total:344ms
03-28 13:00:33.005 19147 19147 I flutter : [PERF] 13:00:33 | FPS:5 | MLKit:168ms | TFLite:178ms | Total:346ms
03-28 13:00:34.054 19147 19147 I flutter : [PERF] 13:00:34 | FPS:5 | MLKit:164ms | TFLite:178ms | Total:342ms
03-28 13:00:35.119 19147 19147 I flutter : [PERF] 13:00:35 | FPS:6 | MLKit:168ms | TFLite:178ms | Total:346ms
03-28 13:00:36.130 19147 19147 I flutter : [PERF] 13:00:36 | FPS:5 | MLKit:174ms | TFLite:179ms | Total:354ms
03-28 13:00:37.297 19147 19147 I flutter : [PERF] 13:00:37 | FPS:6 | MLKit:176ms | TFLite:181ms | Total:357ms
03-28 13:00:38.373 19147 19147 I flutter : [PERF] 13:00:38 | FPS:5 | MLKit:174ms | TFLite:180ms | Total:355ms
03-28 13:00:39.587 19147 19147 I flutter : [PERF] 13:00:39 | FPS:6 | MLKit:174ms | TFLite:183ms | Total:358ms
03-28 13:00:40.655 19147 19147 I flutter : [PERF] 13:00:40 | FPS:5 | MLKit:178ms | TFLite:186ms | Total:364ms
03-28 13:00:41.704 19147 19147 I flutter : [PERF] 13:00:41 | FPS:5 | MLKit:167ms | TFLite:185ms | Total:353ms
03-28 13:00:42.761 19147 19147 I flutter : [PERF] 13:00:42 | FPS:5 | MLKit:151ms | TFLite:183ms | Total:334ms
03-28 13:00:43.762 19147 19147 I flutter : [PERF] 13:00:43 | FPS:5 | MLKit:153ms | TFLite:186ms | Total:339ms
03-28 13:00:44.903 19147 19147 I flutter : [PERF] 13:00:44 | FPS:6 | MLKit:146ms | TFLite:182ms | Total:329ms
03-28 13:00:45.975 19147 19147 I flutter : [PERF] 13:00:45 | FPS:5 | MLKit:135ms | TFLite:178ms | Total:314ms
03-28 13:00:47.124 19147 19147 I flutter : [PERF] 13:00:47 | FPS:6 | MLKit:142ms | TFLite:174ms | Total:316ms
03-28 13:00:48.238 19147 19147 I flutter : [PERF] 13:00:48 | FPS:5 | MLKit:158ms | TFLite:177ms | Total:336ms
03-28 13:00:49.445 19147 19147 I flutter : [PERF] 13:00:49 | FPS:6 | MLKit:163ms | TFLite:177ms | Total:340ms
03-28 13:00:50.491 19147 19147 I flutter : [PERF] 13:00:50 | FPS:5 | MLKit:155ms | TFLite:177ms | Total:333ms
03-28 13:00:51.517 19147 19147 I flutter : [PERF] 13:00:51 | FPS:5 | MLKit:165ms | TFLite:176ms | Total:342ms
03-28 13:00:52.710 19147 19147 I flutter : [PERF] 13:00:52 | FPS:5 | MLKit:159ms | TFLite:181ms | Total:340ms
03-28 13:00:53.907 19147 19147 I flutter : [PERF] 13:00:53 | FPS:6 | MLKit:147ms | TFLite:178ms | Total:326ms
03-28 13:00:55.035 19147 19147 I flutter : [PERF] 13:00:55 | FPS:6 | MLKit:151ms | TFLite:179ms | Total:330ms
03-28 13:00:56.202 19147 19147 I flutter : [PERF] 13:00:56 | FPS:5 | MLKit:158ms | TFLite:180ms | Total:339ms
03-28 13:00:57.272 19147 19147 I flutter : [PERF] 13:00:57 | FPS:5 | MLKit:157ms | TFLite:184ms | Total:342ms
03-28 13:00:58.299 19147 19147 I flutter : [PERF] 13:00:58 | FPS:5 | MLKit:168ms | TFLite:183ms | Total:352ms
03-28 13:00:59.394 19147 19147 I flutter : [PERF] 13:00:59 | FPS:5 | MLKit:180ms | TFLite:185ms | Total:366ms
03-28 13:01:00.499 19147 19147 I flutter : [PERF] 13:01:00 | FPS:6 | MLKit:185ms | TFLite:182ms | Total:368ms
03-28 13:01:01.626 19147 19147 I flutter : [PERF] 13:01:01 | FPS:6 | MLKit:184ms | TFLite:180ms | Total:365ms
03-28 13:01:02.673 19147 19147 I flutter : [PERF] 13:01:02 | FPS:6 | MLKit:182ms | TFLite:177ms | Total:360ms
03-28 13:01:03.831 19147 19147 I flutter : [PERF] 13:01:03 | FPS:6 | MLKit:177ms | TFLite:173ms | Total:350ms
03-28 13:01:05.003 19147 19147 I flutter : [PERF] 13:01:05 | FPS:6 | MLKit:167ms | TFLite:170ms | Total:338ms
03-28 13:01:06.143 19147 19147 I flutter : [PERF] 13:01:06 | FPS:6 | MLKit:160ms | TFLite:170ms | Total:331ms
03-28 13:01:07.330 19147 19147 I flutter : [PERF] 13:01:07 | FPS:6 | MLKit:144ms | TFLite:169ms | Total:313ms
03-28 13:01:08.477 19147 19147 I flutter : [PERF] 13:01:08 | FPS:6 | MLKit:147ms | TFLite:170ms | Total:318ms
