03-28 18:48:40.524 25089 25089 I flutter : [PERF] 18:48:40 | FPS:15 | MLKit:49ms | TFLite:47ms | Total:96ms
03-28 18:48:41.542 25089 25089 I flutter : [PERF] 18:48:41 | FPS:11 | MLKit:51ms | TFLite:50ms | Total:102ms
03-28 18:48:42.546 25089 25089 I flutter : [PERF] 18:48:42 | FPS:12 | MLKit:53ms | TFLite:50ms | Total:104ms
03-28 18:48:43.677 25089 25089 I flutter : [PERF] 18:48:43 | FPS:17 | MLKit:47ms | TFLite:44ms | Total:92ms
03-28 18:48:44.717 25089 25089 I flutter : [PERF] 18:48:44 | FPS:13 | MLKit:46ms | TFLite:43ms | Total:90ms
03-28 18:48:45.719 25089 25089 I flutter : [PERF] 18:48:45 | FPS:13 | MLKit:51ms | TFLite:47ms | Total:98ms
03-28 18:48:46.725 25089 25089 I flutter : [PERF] 18:48:46 | FPS:15 | MLKit:41ms | TFLite:43ms | Total:84ms
03-28 18:48:47.781 25089 25089 I flutter : [PERF] 18:48:47 | FPS:15 | MLKit:38ms | TFLite:39ms | Total:77ms
03-28 18:48:48.783 25089 25089 I flutter : [PERF] 18:48:48 | FPS:12 | MLKit:43ms | TFLite:42ms | Total:85ms
03-28 18:48:49.898 25089 25089 I flutter : [PERF] 18:48:49 | FPS:12 | MLKit:44ms | TFLite:44ms | Total:88ms
03-28 18:48:50.904 25089 25089 I flutter : [PERF] 18:48:50 | FPS:12 | MLKit:43ms | TFLite:45ms | Total:88ms
03-28 18:48:51.968 25089 25089 I flutter : [PERF] 18:48:51 | FPS:15 | MLKit:42ms | TFLite:47ms | Total:90ms
03-28 18:48:53.072 25089 25089 I flutter : [PERF] 18:48:53 | FPS:13 | MLKit:43ms | TFLite:47ms | Total:90ms
03-28 18:48:54.128 25089 25089 I flutter : [PERF] 18:48:54 | FPS:15 | MLKit:49ms | TFLite:53ms | Total:101ms
03-28 18:48:55.168 25089 25089 I flutter : [PERF] 18:48:55 | FPS:15 | MLKit:47ms | TFLite:45ms | Total:93ms
03-28 18:48:56.197 25089 25089 I flutter : [PERF] 18:48:56 | FPS:15 | MLKit:41ms | TFLite:40ms | Total:81ms
03-28 18:48:57.204 25089 25089 I flutter : [PERF] 18:48:57 | FPS:15 | MLKit:40ms | TFLite:42ms | Total:81ms
03-28 18:48:58.325 25089 25089 I flutter : [PERF] 18:48:58 | FPS:13 | MLKit:43ms | TFLite:46ms | Total:88ms
03-28 18:48:59.363 25089 25089 I flutter : [PERF] 18:48:59 | FPS:15 | MLKit:46ms | TFLite:47ms | Total:92ms
03-28 18:49:00.390 25089 25089 I flutter : [PERF] 18:49:00 | FPS:14 | MLKit:45ms | TFLite:46ms | Total:90ms
03-28 18:49:01.451 25089 25089 I flutter : [PERF] 18:49:01 | FPS:17 | MLKit:42ms | TFLite:41ms | Total:84ms
03-28 18:49:02.481 25089 25089 I flutter : [PERF] 18:49:02 | FPS:13 | MLKit:39ms | TFLite:41ms | Total:81ms
03-28 18:49:03.506 25089 25089 I flutter : [PERF] 18:49:03 | FPS:15 | MLKit:40ms | TFLite:44ms | Total:85ms
03-28 18:49:04.549 25089 25089 I flutter : [PERF] 18:49:04 | FPS:14 | MLKit:43ms | TFLite:46ms | Total:89ms
03-28 18:49:05.578 25089 25089 I flutter : [PERF] 18:49:05 | FPS:15 | MLKit:40ms | TFLite:42ms | Total:82ms
03-28 18:49:06.586 25089 25089 I flutter : [PERF] 18:49:06 | FPS:15 | MLKit:38ms | TFLite:40ms | Total:79ms
03-28 18:49:07.619 25089 25089 I flutter : [PERF] 18:49:07 | FPS:13 | MLKit:39ms | TFLite:42ms | Total:81ms
03-28 18:49:08.625 25089 25089 I flutter : [PERF] 18:49:08 | FPS:11 | MLKit:46ms | TFLite:47ms | Total:93ms
03-28 18:49:09.673 25089 25089 I flutter : [PERF] 18:49:09 | FPS:13 | MLKit:45ms | TFLite:50ms | Total:95ms
03-28 18:49:10.696 25089 25089 I flutter : [PERF] 18:49:10 | FPS:16 | MLKit:42ms | TFLite:45ms | Total:87ms
03-28 18:49:11.719 25089 25089 I flutter : [PERF] 18:49:11 | FPS:15 | MLKit:38ms | TFLite:41ms | Total:80ms
03-28 18:49:12.805 25089 25089 I flutter : [PERF] 18:49:12 | FPS:15 | MLKit:41ms | TFLite:41ms | Total:83ms
03-28 18:49:13.806 25089 25089 I flutter : [PERF] 18:49:13 | FPS:13 | MLKit:46ms | TFLite:47ms | Total:93ms
03-28 18:49:14.837 25089 25089 I flutter : [PERF] 18:49:14 | FPS:13 | MLKit:54ms | TFLite:54ms | Total:108ms
