03-28 20:34:52.137  3085  3085 I flutter : [PERF] 20:34:52 | FPS:4 | MLKit:147ms | TFLite:231ms | Total:378ms
03-28 20:34:53.338  3085  3085 I flutter : [PERF] 20:34:53 | FPS:5 | MLKit:162ms | TFLite:228ms | Total:391ms
03-28 20:34:54.452  3085  3085 I flutter : [PERF] 20:34:54 | FPS:5 | MLKit:149ms | TFLite:225ms | Total:374ms
03-28 20:34:55.621  3085  3085 I flutter : [PERF] 20:34:55 | FPS:4 | MLKit:149ms | TFLite:230ms | Total:379ms
03-28 20:34:56.713  3085  3085 I flutter : [PERF] 20:34:56 | FPS:4 | MLKit:145ms | TFLite:229ms | Total:374ms
03-28 20:34:57.792  3085  3085 I flutter : [PERF] 20:34:57 | FPS:4 | MLKit:149ms | TFLite:229ms | Total:378ms
03-28 20:34:58.932  3085  3085 I flutter : [PERF] 20:34:58 | FPS:5 | MLKit:163ms | TFLite:221ms | Total:385ms
03-28 20:35:00.169  3085  3085 I flutter : [PERF] 20:35:00 | FPS:5 | MLKit:182ms | TFLite:224ms | Total:406ms
03-28 20:35:01.474  3085  3085 I flutter : [PERF] 20:35:01 | FPS:5 | MLKit:184ms | TFLite:225ms | Total:409ms
03-28 20:35:02.657  3085  3085 I flutter : [PERF] 20:35:02 | FPS:4 | MLKit:191ms | TFLite:228ms | Total:420ms
03-28 20:35:03.668  3085  3085 I flutter : [PERF] 20:35:03 | FPS:4 | MLKit:197ms | TFLite:227ms | Total:425ms
03-28 20:35:04.763  3085  3085 I flutter : [PERF] 20:35:04 | FPS:4 | MLKit:203ms | TFLite:228ms | Total:431ms
03-28 20:35:05.947  3085  3085 I flutter : [PERF] 20:35:05 | FPS:5 | MLKit:209ms | TFLite:228ms | Total:437ms
03-28 20:35:06.960  3085  3085 I flutter : [PERF] 20:35:06 | FPS:4 | MLKit:218ms | TFLite:231ms | Total:450ms
03-28 20:35:08.180  3085  3085 I flutter : [PERF] 20:35:08 | FPS:5 | MLKit:227ms | TFLite:232ms | Total:460ms
03-28 20:35:09.358  3085  3085 I flutter : [PERF] 20:35:09 | FPS:5 | MLKit:211ms | TFLite:230ms | Total:441ms
03-28 20:35:10.688  3085  3085 I flutter : [PERF] 20:35:10 | FPS:5 | MLKit:201ms | TFLite:228ms | Total:430ms
03-28 20:35:11.925  3085  3085 I flutter : [PERF] 20:35:11 | FPS:4 | MLKit:187ms | TFLite:233ms | Total:420ms
03-28 20:35:13.175  3085  3085 I flutter : [PERF] 20:35:13 | FPS:5 | MLKit:190ms | TFLite:233ms | Total:423ms
03-28 20:35:14.347  3085  3085 I flutter : [PERF] 20:35:14 | FPS:5 | MLKit:190ms | TFLite:231ms | Total:422ms
03-28 20:35:15.404  3085  3085 I flutter : [PERF] 20:35:15 | FPS:4 | MLKit:190ms | TFLite:233ms | Total:424ms
03-28 20:35:16.443  3085  3085 I flutter : [PERF] 20:35:16 | FPS:4 | MLKit:196ms | TFLite:236ms | Total:432ms
03-28 20:35:17.462  3085  3085 I flutter : [PERF] 20:35:17 | FPS:4 | MLKit:207ms | TFLite:241ms | Total:448ms
03-28 20:35:18.475  3085  3085 I flutter : [PERF] 20:35:18 | FPS:4 | MLKit:222ms | TFLite:241ms | Total:463ms
03-28 20:35:19.487  3085  3085 I flutter : [PERF] 20:35:19 | FPS:4 | MLKit:233ms | TFLite:236ms | Total:470ms
03-28 20:35:20.645  3085  3085 I flutter : [PERF] 20:35:20 | FPS:5 | MLKit:238ms | TFLite:233ms | Total:471ms
03-28 20:35:21.675  3085  3085 I flutter : [PERF] 20:35:21 | FPS:4 | MLKit:231ms | TFLite:235ms | Total:466ms
03-28 20:35:22.886  3085  3085 I flutter : [PERF] 20:35:22 | FPS:5 | MLKit:215ms | TFLite:228ms | Total:444ms
03-28 20:35:23.977  3085  3085 I flutter : [PERF] 20:35:23 | FPS:4 | MLKit:202ms | TFLite:224ms | Total:427ms
03-28 20:35:25.034  3085  3085 I flutter : [PERF] 20:35:25 | FPS:5 | MLKit:195ms | TFLite:219ms | Total:414ms
