03-28 18:22:18.985 23179 23179 I flutter : [PERF] 18:22:18 | FPS:5 | MLKit:149ms | TFLite:181ms | Total:331ms
03-28 18:22:20.061 23179 23179 I flutter : [PERF] 18:22:20 | FPS:5 | MLKit:147ms | TFLite:184ms | Total:331ms
03-28 18:22:21.139 23179 23179 I flutter : [PERF] 18:22:21 | FPS:6 | MLKit:151ms | TFLite:184ms | Total:336ms
03-28 18:22:22.242 23179 23179 I flutter : [PERF] 18:22:22 | FPS:6 | MLKit:151ms | TFLite:177ms | Total:329ms
03-28 18:22:23.312 23179 23179 I flutter : [PERF] 18:22:23 | FPS:6 | MLKit:150ms | TFLite:176ms | Total:326ms
03-28 18:22:24.501 23179 23179 I flutter : [PERF] 18:22:24 | FPS:5 | MLKit:144ms | TFLite:181ms | Total:326ms
03-28 18:22:25.585 23179 23179 I flutter : [PERF] 18:22:25 | FPS:6 | MLKit:151ms | TFLite:176ms | Total:327ms
03-28 18:22:26.711 23179 23179 I flutter : [PERF] 18:22:26 | FPS:5 | MLKit:132ms | TFLite:175ms | Total:308ms
03-28 18:22:27.854 23179 23179 I flutter : [PERF] 18:22:27 | FPS:6 | MLKit:123ms | TFLite:175ms | Total:298ms
03-28 18:22:28.931 23179 23179 I flutter : [PERF] 18:22:28 | FPS:6 | MLKit:121ms | TFLite:174ms | Total:296ms
03-28 18:22:29.965 23179 23179 I flutter : [PERF] 18:22:29 | FPS:5 | MLKit:117ms | TFLite:173ms | Total:290ms
03-28 18:22:31.025 23179 23179 I flutter : [PERF] 18:22:31 | FPS:5 | MLKit:99ms | TFLite:169ms | Total:269ms
03-28 18:22:32.035 23179 23179 I flutter : [PERF] 18:22:32 | FPS:5 | MLKit:104ms | TFLite:171ms | Total:275ms
03-28 18:22:33.239 23179 23179 I flutter : [PERF] 18:22:33 | FPS:6 | MLKit:105ms | TFLite:172ms | Total:277ms
03-28 18:22:34.248 23179 23179 I flutter : [PERF] 18:22:34 | FPS:5 | MLKit:120ms | TFLite:173ms | Total:293ms
03-28 18:22:35.316 23179 23179 I flutter : [PERF] 18:22:35 | FPS:6 | MLKit:118ms | TFLite:174ms | Total:293ms
03-28 18:22:36.478 23179 23179 I flutter : [PERF] 18:22:36 | FPS:6 | MLKit:136ms | TFLite:174ms | Total:311ms
03-28 18:22:37.642 23179 23179 I flutter : [PERF] 18:22:37 | FPS:6 | MLKit:146ms | TFLite:175ms | Total:321ms
03-28 18:22:38.674 23179 23179 I flutter : [PERF] 18:22:38 | FPS:5 | MLKit:140ms | TFLite:173ms | Total:314ms
03-28 18:22:39.742 23179 23179 I flutter : [PERF] 18:22:39 | FPS:6 | MLKit:144ms | TFLite:172ms | Total:317ms
03-28 18:22:40.819 23179 23179 I flutter : [PERF] 18:22:40 | FPS:5 | MLKit:140ms | TFLite:175ms | Total:315ms
03-28 18:22:42.044 23179 23179 I flutter : [PERF] 18:22:42 | FPS:6 | MLKit:132ms | TFLite:176ms | Total:309ms
03-28 18:22:43.173 23179 23179 I flutter : [PERF] 18:22:43 | FPS:5 | MLKit:125ms | TFLite:178ms | Total:303ms
03-28 18:22:44.400 23179 23179 I flutter : [PERF] 18:22:44 | FPS:6 | MLKit:132ms | TFLite:178ms | Total:310ms
03-28 18:22:45.563 23179 23179 I flutter : [PERF] 18:22:45 | FPS:5 | MLKit:119ms | TFLite:179ms | Total:298ms
03-28 18:22:46.683 23179 23179 I flutter : [PERF] 18:22:46 | FPS:6 | MLKit:130ms | TFLite:182ms | Total:312ms
03-28 18:22:47.822 23179 23179 I flutter : [PERF] 18:22:47 | FPS:6 | MLKit:133ms | TFLite:180ms | Total:313ms
03-28 18:22:48.880 23179 23179 I flutter : [PERF] 18:22:48 | FPS:5 | MLKit:149ms | TFLite:181ms | Total:331ms
03-28 18:22:49.921 23179 23179 I flutter : [PERF] 18:22:49 | FPS:5 | MLKit:159ms | TFLite:183ms | Total:342ms
03-28 18:22:50.997 23179 23179 I flutter : [PERF] 18:22:50 | FPS:6 | MLKit:178ms | TFLite:180ms | Total:358ms
03-28 18:22:52.088 23179 23179 I flutter : [PERF] 18:22:52 | FPS:5 | MLKit:180ms | TFLite:182ms | Total:362ms
03-28 18:22:53.117 23179 23179 I flutter : [PERF] 18:22:53 | FPS:5 | MLKit:170ms | TFLite:184ms | Total:354ms
03-28 18:22:54.259 23179 23179 I flutter : [PERF] 18:22:54 | FPS:6 | MLKit:171ms | TFLite:185ms | Total:356ms
03-28 18:22:55.461 23179 23179 I flutter : [PERF] 18:22:55 | FPS:6 | MLKit:161ms | TFLite:182ms | Total:344ms
03-28 18:22:56.527 23179 23179 I flutter : [PERF] 18:22:56 | FPS:5 | MLKit:149ms | TFLite:181ms | Total:330ms
03-28 18:22:57.584 23179 23179 I flutter : [PERF] 18:22:57 | FPS:5 | MLKit:140ms | TFLite:184ms | Total:324ms
03-28 18:22:58.691 23179 23179 I flutter : [PERF] 18:22:58 | FPS:5 | MLKit:136ms | TFLite:181ms | Total:317ms
03-28 18:22:59.815 23179 23179 I flutter : [PERF] 18:22:59 | FPS:5 | MLKit:129ms | TFLite:182ms | Total:312ms
03-28 18:23:00.912 23179 23179 I flutter : [PERF] 18:23:00 | FPS:5 | MLKit:121ms | TFLite:184ms | Total:306ms
03-28 18:23:02.005 23179 23179 I flutter : [PERF] 18:23:02 | FPS:6 | MLKit:123ms | TFLite:185ms | Total:308ms
03-28 18:23:03.027 23179 23179 I flutter : [PERF] 18:23:03 | FPS:6 | MLKit:139ms | TFLite:184ms | Total:317ms
03-28 18:23:04.180 23179 23179 I flutter : [PERF] 18:23:04 | FPS:6 | MLKit:141ms | TFLite:182ms | Total:317ms
03-28 18:23:05.394 23179 23179 I flutter : [PERF] 18:23:05 | FPS:6 | MLKit:142ms | TFLite:181ms | Total:317ms
03-28 18:23:06.396 23179 23179 I flutter : [PERF] 18:23:06 | FPS:5 | MLKit:144ms | TFLite:180ms | Total:318ms
03-28 18:23:07.495 23179 23179 I flutter : [PERF] 18:23:07 | FPS:6 | MLKit:139ms | TFLite:178ms | Total:311ms
03-28 18:23:08.654 23179 23179 I flutter : [PERF] 18:23:08 | FPS:6 | MLKit:142ms | TFLite:176ms | Total:319ms
03-28 18:23:09.800 23179 23179 I flutter : [PERF] 18:23:09 | FPS:6 | MLKit:146ms | TFLite:176ms | Total:323ms
03-28 18:23:10.985 23179 23179 I flutter : [PERF] 18:23:10 | FPS:6 | MLKit:136ms | TFLite:176ms | Total:312ms
03-28 18:23:12.038 23179 23179 I flutter : [PERF] 18:23:12 | FPS:5 | MLKit:142ms | TFLite:176ms | Total:319ms
03-28 18:23:13.165 23179 23179 I flutter : [PERF] 18:23:13 | FPS:5 | MLKit:140ms | TFLite:179ms | Total:320ms
03-28 18:23:14.279 23179 23179 I flutter : [PERF] 18:23:14 | FPS:6 | MLKit:134ms | TFLite:179ms | Total:313ms
03-28 18:23:15.460 23179 23179 I flutter : [PERF] 18:23:15 | FPS:5 | MLKit:131ms | TFLite:183ms | Total:315ms
03-28 18:23:16.475 23179 23179 I flutter : [PERF] 18:23:16 | FPS:5 | MLKit:137ms | TFLite:185ms | Total:323ms
03-28 18:23:17.704 23179 23179 I flutter : [PERF] 18:23:17 | FPS:6 | MLKit:140ms | TFLite:188ms | Total:328ms
03-28 18:23:18.724 23179 23179 I flutter : [PERF] 18:23:18 | FPS:5 | MLKit:143ms | TFLite:184ms | Total:328ms
03-28 18:23:19.825 23179 23179 I flutter : [PERF] 18:23:19 | FPS:5 | MLKit:143ms | TFLite:186ms | Total:330ms
03-28 18:23:20.851 23179 23179 I flutter : [PERF] 18:23:20 | FPS:5 | MLKit:134ms | TFLite:185ms | Total:319ms
03-28 18:23:21.865 23179 23179 I flutter : [PERF] 18:23:21 | FPS:5 | MLKit:139ms | TFLite:184ms | Total:324ms
03-28 18:23:22.901 23179 23179 I flutter : [PERF] 18:23:22 | FPS:5 | MLKit:130ms | TFLite:184ms | Total:315ms
03-28 18:23:23.913 23179 23179 I flutter : [PERF] 18:23:23 | FPS:5 | MLKit:130ms | TFLite:182ms | Total:312ms
03-28 18:23:25.093 23179 23179 I flutter : [PERF] 18:23:25 | FPS:6 | MLKit:140ms | TFLite:183ms | Total:324ms
03-28 18:23:26.240 23179 23179 I flutter : [PERF] 18:23:26 | FPS:6 | MLKit:159ms | TFLite:182ms | Total:341ms
03-28 18:23:27.260 23179 23179 I flutter : [PERF] 18:23:27 | FPS:5 | MLKit:161ms | TFLite:181ms | Total:342ms
03-28 18:23:28.440 23179 23179 I flutter : [PERF] 18:23:28 | FPS:7 | MLKit:156ms | TFLite:178ms | Total:329ms
03-28 18:23:29.495 23179 23179 I flutter : [PERF] 18:23:29 | FPS:5 | MLKit:151ms | TFLite:178ms | Total:323ms
